"Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"Assessment centre > Physical measures > Hearing test",100049,4244,"Mean signal-to-noise ratio (SNR), (right)",223830,3951367,"Complete","Continuous","","Data","Primary","Unisex",4,15,7667,"This is the mean signal-to-noise ratio for rounds 8 onwards (right ear). The triplets played in rounds 1-5 represent the 'hunting phase' where the SNR change is 2 levels (equivalent to 4 dB) harder following a correct response and 2 levels easier following a wrong response, as opposed to a change of 1 level (2 dB) in rounds 8 to 15. Value is stored as -99999 for rounds 1-7.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4244"
"Assessment centre > Physical measures > Hearing test",100049,4245,"Time to press first digit (right)",223829,3951352,"Complete","Integer","deciseconds","Data","Auxiliary","Unisex",4,15,,"This is the time taken to press the first digit on the touchscreen in each round (right ear). This should not be used as a marker of reaction time as participants were not explicitly instructed to complete the test as quickly as possible.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4245"
"Assessment centre > Physical measures > Hearing test",100049,4246,"Time to press last digit (right)",223829,3951352,"Complete","Integer","deciseconds","Data","Auxiliary","Unisex",4,15,,"This is the time taken to press the last digit on the touchscreen in each round (right ear). This should not be used as a marker of reaction time as participants were not explicitly instructed to complete the test as quickly as possible.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4246"
"Assessment centre > Physical measures > Hearing test",100049,4247,"Time to press 'next' (right)",223829,3951352,"Complete","Integer","deciseconds","Data","Auxiliary","Unisex",4,15,17,"This is the time taken to press the 'next' key on the touchscreen in each round since the triplet played (right ear). This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly we possible.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4247"
"Assessment centre > Physical measures > Hearing test",100049,4248,"Keystroke history (right)",224217,3954102,"Complete","Text","","Data","Auxiliary","Unisex",4,15,,"This is the keystroke history for the hearing test (right ear)","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4248"
"Assessment centre > Physical measures > Hearing test",100049,4249,"Number of times 'clear' was pressed (right)",224217,3954102,"Complete","Integer","","Data","Auxiliary","Unisex",4,15,,"This is the number of times the 'clear' key was pressed to reset the triplet entry during the hearing test for the right ear.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4249"
"Assessment centre > Cognitive function > Numeric memory",100029,4250,"Number of digits to be memorised/recalled",90953,813905,"Complete","Integer","","Data","Auxiliary","Unisex",4,16,,"This is the length of the number shown to the participant. The length was capped at 12 digits.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4250"
"Assessment centre > Cognitive function > Numeric memory",100029,4251,"Target number to be memorised",90949,813899,"Complete","Text","","Data","Auxiliary","Unisex",4,16,,"The number displayed to the participant.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4251"
"Assessment centre > Cognitive function > Numeric memory",100029,4252,"Target number to be entered",90949,813899,"Complete","Text","milliseconds","Data","Auxiliary","Unisex",4,16,,"This is the number the participant was expected to enter - the reverse of Field 4251","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4252"
"Assessment centre > Cognitive function > Numeric memory",100029,4253,"Time number displayed for",90949,813899,"Complete","Integer","milliseconds","Data","Auxiliary","Unisex",4,16,,"The time the number to be memorised was visible to the participant.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4253"
"Assessment centre > Cognitive function > Numeric memory",100029,4254,"Time first key touched",90934,813804,"Complete","Integer","milliseconds","Data","Auxiliary","Unisex",4,16,,"When the participant touched the first key while entering a remembered number.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4254"
"Assessment centre > Cognitive function > Numeric memory",100029,4255,"Time last key touched",90934,813804,"Complete","Integer","milliseconds","Data","Auxiliary","Unisex",4,16,,"When the participant touched the last key while entering a remembered number.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4255"
"Assessment centre > Cognitive function > Numeric memory",100029,4256,"Time elapsed",90934,813804,"Complete","Integer","milliseconds","Data","Auxiliary","Unisex",4,16,,"This is the time the participant had been using the touchscreen before beginning the numeric memory test.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4256"
"Assessment centre > Cognitive function > Numeric memory",100029,4257,"Keystroke history",90953,813905,"Complete","Text","","Data","Auxiliary","Unisex",4,16,,"This records the actual keys touched by the participant while entering a number, including edits/deletions.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4257"
"Assessment centre > Cognitive function > Numeric memory",100029,4258,"Number entered by participant",90934,813804,"Complete","Text","","Data","Primary","Unisex",4,16,,"This is the number entered by participant in each round.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4258"
"Assessment centre > Cognitive function > Numeric memory",100029,4259,"Digits entered correctly",90934,813804,"Complete","Categorical single","","Data","Primary","Unisex",4,16,29,"Indicates whether the participant correctly entered all the digits in reverse order. This is true if Field 4252 is equal to Field 4258","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4259"
"Assessment centre > Cognitive function > Numeric memory",100029,4260,"Round of numeric memory test",90953,813905,"Complete","Integer","","Data","Primary","Unisex",4,16,,"Indicates which round of the numeric memory test the associated results belong to.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4260"
"Assessment centre > Physical measures > Hearing test",100049,4268,"Completion status (left)",225762,268793,"Complete","Categorical single","","Data","Primary","Unisex",4,1,30,"This denotes whether the hearing test was not-started, abandoned or completed (left ear).","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4268"
"Assessment centre > Physical measures > Hearing test",100049,4269,"Number of triplets attempted (left)",225762,268793,"Complete","Integer","","Data","Primary","Unisex",4,1,,"This is the number of triplet rounds attempted (0-15), for the left ear.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4269"
"Assessment centre > Physical measures > Hearing test",100049,4270,"Volume level set by participant (left)",224119,266755,"Complete","Categorical single","","Data","Primary","Unisex",4,1,15,"Volume level set by participant for left ear as a percentage of the maximum volume. Note that these value do not have some absolute correspondence to a dB scale as the maximum volume could vary between pieces of equipment and the choice might have been influenced by the level of background noise in the touchscreen area.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4270"
"Assessment centre > Physical measures > Hearing test",100049,4272,"Duration of hearing test (left)",225762,268793,"Complete","Integer","deciseconds","Data","Auxiliary","Unisex",4,1,,"This is the total duration of the hearing test for the left ear. This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly as possible.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4272"
"Assessment centre > Physical measures > Hearing test",100049,4275,"Completion status (right)",225898,268999,"Complete","Categorical single","","Data","Primary","Unisex",4,1,30,"This denotes whether the hearing test was not-started, abandoned or completed (right ear).","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4275"
"Assessment centre > Physical measures > Hearing test",100049,4276,"Number of triplets attempted (right)",225898,268999,"Complete","Integer","","Data","Primary","Unisex",4,1,,"This is the number of triplet rounds attempted (0-15), for the right ear.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4276"
"Assessment centre > Physical measures > Hearing test",100049,4277,"Volume level set by participant (right)",224217,266895,"Complete","Categorical single","","Data","Primary","Unisex",4,1,15,"Volume level set by participant for right ear as a percentage of the maximum volume. Note that these value do not have some absolute correspondence to a dB scale as the maximum volume could vary between pieces of equipment and the choice might have been influenced by the level of background noise in the touchscreen area.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4277"
