"Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"Assessment centre > Procedural metrics > Process durations",152,3,"Verbal interview duration",501517,594418,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"Time taken for interview","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=3"
"Assessment centre > Procedural metrics > Process durations",152,4,"Biometrics duration",498082,598400,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4"
"Assessment centre > Procedural metrics > Process durations",152,5,"Sample collection duration",501192,603395,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=5"
"Assessment centre > Procedural metrics > Process durations",152,6,"Conclusion duration",499124,601222,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,1,,"This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=6"
"Assessment centre > Physical measures > Bone-densitometry of heel",100018,19,"Heel ultrasound method",324682,324682,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100260,"Method used for the Ultrasound Bone Densitometry of heel","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=19"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,21,"Weight method",500714,602146,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100261,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=21"
"Assessment centre > Physical measures > Spirometry",100020,23,"Spirometry method",460208,523241,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100270,"Spirometry method","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=23"
"Population characteristics > Baseline characteristics",100094,31,"Sex",502357,502357,"Complete","Categorical single","","Data","Primary","Unisex",1,1,9,"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=31"
"Population characteristics > Baseline characteristics",100094,33,"Date of birth",502357,502357,"Complete","Date","","Data","Primary","Unisex",1,1,,"Date of birth (DOB) of participant.  Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (Field 52) and Year of Birth (Field 34) instead.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=33"
"Population characteristics > Baseline characteristics",100094,34,"Year of birth",502357,502357,"Complete","Integer","years","Data","Primary","Unisex",1,1,,"Year of birth of participant. Acquired from central registry, updated by participant.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=34"
"Assessment centre > Biological sampling > Blood sample collection",100002,35,"Was blood sampling attempted",501192,603395,"Complete","Categorical single","","Data","Primary","Unisex",4,1,7,"Indicates whether or not taking blood samples was attempted","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=35"
"Assessment centre > Physical measures > Blood pressure",100011,36,"Blood pressure device ID",498835,590648,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Blood pressure (Omron) gadget ID","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=36"
"Assessment centre > Physical measures > Blood pressure",100011,37,"Blood pressure manual sphygmomanometer device ID",498835,590648,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Blood pressure manual sphygmomanometer gadget ID","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=37"
"Assessment centre > Physical measures > Hand grip strength",100019,38,"Hand grip dynamometer device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Hand grip dynamometer device id. Dynamometer calibration records are available in the associated Resources.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=38"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,39,"Height measure device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Height measure gadget id","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=39"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,40,"Manual scales device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Manual scales gadget id","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=40"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,41,"Seating box device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Sitting box gadget id","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=41"
"Assessment centre > Physical measures > Spirometry",100020,42,"Spirometer device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Spirometer gadget ID","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=42"
"Assessment centre > Physical measures > Anthropometry > Body composition by impedance",100009,43,"Impedance device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Impedance (Tanita) gadget id","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=43"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,44,"Tape measure device ID",498083,598401,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Tape measure gadget id","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=44"
"Assessment centre > Physical measures > Bone-densitometry of heel",100018,45,"Heel ultrasound device id",497945,579543,"Complete","Text","","Data","Auxiliary","Unisex",4,1,,"Ultrasound heel (Sahara) gadget ID","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=45"
"Assessment centre > Physical measures > Hand grip strength",100019,46,"Hand grip strength (left)",499213,599524,"Accruing","Integer","Kg","Data","Primary","Unisex",4,1,,"Left grip strength.     An issue has been identified with the a small amount of grip strength data (Field 46 and Field 47) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution.   In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013.  The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=46"
"Assessment centre > Physical measures > Hand grip strength",100019,47,"Hand grip strength (right)",499291,599607,"Accruing","Integer","Kg","Data","Primary","Unisex",4,1,,"Right grip strength.     An issue has been identified with the a small amount of grip strength data (Field 46 and Field 47) collected in Cheadle during the first repeat visit in 2013 (Instance 1). We are working on modelling a correction factor for this data. In the meantime, researchers are advised to treat the 2013 grip strength data with caution.   In particular, readings from dynamometer 7336 are lower than expected. The mean error is approximately 2 kg for readings taken in January 2013, gradually increasing to a mean error of 14 kg for readings taken in June 2013.   The dynamometer was recalibrated after June 2013, during scheduled yearly external calibration, and there is no evidence of problems with dynamometer 7336 during instances 0, 2 or 3.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=47"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,48,"Waist circumference",500288,601676,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,,"Waist circumference","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=48"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,49,"Hip circumference",500223,601615,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,,"Hip circumference","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=49"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,50,"Standing height",499928,601252,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,,"Standing height was measured using a Seca 202 device","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=50"
"Assessment centre > Physical measures > Anthropometry > Body size measures",100010,51,"Seated height",497296,597347,"Complete","Continuous","cm","Data","Primary","Unisex",4,1,,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by Field 3077","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=51"
"Population characteristics > Baseline characteristics",100094,52,"Month of birth",502357,502357,"Complete","Categorical single","","Data","Primary","Unisex",1,1,8,"Calendar month of birth of participant. Acquired from central registry, updated by participant.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=52"
"Assessment centre > Recruitment > Reception",100024,53,"Date of attending assessment centre",502357,605701,"Complete","Date","","Data","Primary","Unisex",4,1,,"Date when a participant attended a UK Biobank assessment centre.  Automatically acquired at the Reception stage.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=53"
"Assessment centre > Recruitment > Reception",100024,54,"UK Biobank assessment centre",502357,605681,"Complete","Categorical single","","Data","Primary","Unisex",4,1,10,"The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=54"
"Assessment centre > Recruitment > Reception",100024,55,"Month of attending assessment centre",502357,605701,"Complete","Categorical single","","Data","Primary","Unisex",4,1,8,"Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=55"
"Assessment centre > Procedural metrics",100004,62,"Willing to attempt cognitive tests",498226,529649,"Complete","Categorical single","","Data","Primary","Unisex",3,1,100641,"ACE touchscreen question \"Now we would like to check your memory and reaction times by getting you to play some short games\"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=62"
"Assessment centre > Biological sampling > Blood sample collection",100002,68,"Number of blood samples taken",501192,603395,"Complete","Integer","","Data","Primary","Unisex",4,1,,"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=68"
"Assessment centre > Biological sampling > Blood sample collection",100002,74,"Fasting time",501177,603371,"Complete","Integer","hours","Data","Primary","Unisex",4,1,,"Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=74"
"Assessment centre > Physical measures > Bone-densitometry of heel",100018,77,"Heel bone ultrasound T-score, manual entry",42721,42721,"Complete","Continuous","Std.Devs","Data","Primary","Unisex",1,1,,"This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=77"
"Assessment centre > Physical measures > Bone-densitometry of heel",100018,78,"Heel bone mineral density (BMD) T-score, automated",279010,279010,"Complete","Continuous","Std.Devs","Data","Primary","Unisex",1,1,,"This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=78"
"Assessment centre > Verbal interview > Medical conditions",100074,84,"Cancer year/age first occurred",48341,57838,"Complete","Integer","","Data","Primary","Unisex",4,6,37,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=84"
"Assessment centre > Verbal interview > Medical conditions",100074,87,"Non-cancer illness year/age first occurred",393105,1268639,"Complete","Integer","","Data","Primary","Unisex",4,34,37,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=87"
"Assessment centre > Verbal interview > Operations",100076,92,"Operation year/age first occurred",402663,1054418,"Complete","Integer","","Data","Primary","Unisex",4,32,37,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=92"
"Assessment centre > Physical measures > Blood pressure",100011,93,"Systolic blood pressure, manual reading",51881,87152,"Complete","Integer","mmHg","Data","Primary","Unisex",4,2,,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=93"
"Assessment centre > Physical measures > Blood pressure",100011,94,"Diastolic blood pressure, manual reading",51881,87152,"Complete","Integer","mmHg","Data","Primary","Unisex",4,2,,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=94"
"Assessment centre > Physical measures > Blood pressure",100011,95,"Pulse rate (during blood-pressure measurement)",51881,87152,"Complete","Integer","","Data","Primary","Unisex",4,2,,"Pulse measured during automated blood-pressure reading","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=95"
"Assessment centre > Physical measures > Blood pressure",100011,96,"Time since interview start at which blood pressure screen(s) shown",501517,1187866,"Complete","Integer","seconds","Data","Auxiliary","Unisex",4,2,,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=96"
"Assessment centre > Physical measures > Blood pressure",100011,102,"Pulse rate, automated reading",475944,1098928,"Complete","Integer","bpm","Data","Primary","Unisex",4,2,,"This is the pulse rate measured during the automated blood pressure readings.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=102"
"Assessment centre > Procedural metrics",100004,111,"Aide-memoire completed",501498,521826,"Complete","Categorical single","","Data","Primary","Unisex",2,1,7,"Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=111"
"Assessment centre > Verbal interview > Early life factors",100072,115,"Father's month of birth",323077,323077,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100279,"Father's month of birth","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=115"
"Assessment centre > Verbal interview > Early life factors",100072,117,"Mother's month of birth",323077,323077,"Complete","Categorical single","","Data","Primary","Unisex",1,1,100279,"Mother's month of birth","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=117"
"Assessment centre > Verbal interview > Early life factors",100072,118,"Mother's day of birth",279532,279532,"Complete","Integer","day-of-month","Data","Primary","Unisex",1,1,,"Mother's day of birth (this is the day-within-month)","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=118"
"Assessment centre > Verbal interview > Early life factors",100072,120,"Birth weight known",501498,533530,"Complete","Categorical single","","Data","Primary","Unisex",3,1,100258,"Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=120"
"Assessment centre > Verbal interview > Early life factors",100072,129,"Place of birth in UK - north co-ordinate",452167,480972,"Complete","Integer","metre-grid","Data","Primary","Unisex",3,1,170,"Place born - north co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=129"
"Assessment centre > Verbal interview > Early life factors",100072,130,"Place of birth in UK - east co-ordinate",452167,480972,"Complete","Integer","metre-grid","Data","Primary","Unisex",3,1,170,"Place born - east co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=130"
"Assessment centre > Verbal interview > Employment",100073,132,"Job code at visit - entered",348026,419167,"Complete","Categorical single","","Data","Primary","Unisex",4,1,2,"This information is regarded as restricted and will be supplied to researchers only when absolutely necessary.    Please use data field 20277 which is the unrestricted version of this data field.    See also the Related Data-Fields tab below for other unrestricted alternatives.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=132"
"Assessment centre > Verbal interview > Medical conditions",100074,134,"Number of self-reported cancers",501517,594418,"Complete","Integer","","Data","Primary","Unisex",4,1,,"Number of cancers entered","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=134"
"Assessment centre > Verbal interview > Medical conditions",100074,135,"Number of self-reported non-cancer illnesses",501517,594418,"Complete","Integer","","Data","Primary","Unisex",4,1,,"Number of non-cancer illnesses entered","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=135"
"Assessment centre > Verbal interview > Operations",100076,136,"Number of operations, self-reported",501517,594418,"Complete","Integer","","Data","Primary","Unisex",4,1,,"Number of operations entered","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=136"
"Assessment centre > Verbal interview > Medications",100075,137,"Number of treatments/medications taken",501517,594418,"Complete","Integer","","Data","Primary","Unisex",4,1,,"Number of treatments (medications) entered","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=137"
"Assessment centre > Verbal interview > Early life factors",100072,146,"Father's day of birth",255861,255861,"Complete","Integer","day-of-month","Data","Primary","Unisex",1,1,,"Father's day of birth (this is the day-within-month)","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=146"
"Population characteristics > Ongoing characteristics",2,190,"Reason lost to follow-up",1297,1297,"Ongoing","Categorical single","","Data","Primary","Unisex",1,1,1965,"Indicates the reason that a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=190"
"Population characteristics > Ongoing characteristics",2,191,"Date lost to follow-up",1297,1297,"Ongoing","Date","","Data","Primary","Unisex",1,1,,"Indicates the date from which a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=191"
"Assessment centre > Recruitment > Consent",100023,200,"Date of consenting to join UK Biobank",502355,502355,"Complete","Date","","Data","Primary","Unisex",1,1,,"Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=200"
"Assessment centre > Recruitment > Consent",100023,393,"Program (tactus) version ID (compiler timestamp)",502352,502352,"Complete","Categorical single","","Data","Auxiliary","Unisex",1,1,1200,"This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=393"
"Assessment centre > Cognitive function > Pairs matching",100030,396,"Number of columns displayed in round",498838,1241532,"Complete","Integer","","Data","Primary","Unisex",4,3,,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=396"
"Assessment centre > Cognitive function > Pairs matching",100030,397,"Number of rows displayed in round",498838,1191376,"Complete","Integer","","Data","Primary","Unisex",4,2,,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=397"
"Assessment centre > Cognitive function > Pairs matching",100030,398,"Number of correct matches in round",498838,1241532,"Complete","Integer","","Data","Primary","Unisex",4,3,,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=398"
"Assessment centre > Cognitive function > Pairs matching",100030,399,"Number of incorrect matches in round",498838,1241532,"Complete","Integer","","Data","Primary","Unisex",4,3,,"A value of 0 indicates the participant made no mistakes.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=399"
"Assessment centre > Cognitive function > Pairs matching",100030,400,"Time to complete round",498838,1241532,"Complete","Integer","deciseconds","Data","Primary","Unisex",4,3,402,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=400"
"Assessment centre > Cognitive function > Reaction time",100032,401,"Index for card A in round",496710,7121532,"Complete","Categorical single","","Data","Primary","Unisex",4,12,92,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=401"
"Assessment centre > Cognitive function > Reaction time",100032,402,"Index for card B in round",496710,7121532,"Complete","Categorical single","","Data","Primary","Unisex",4,12,92,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=402"
"Assessment centre > Cognitive function > Reaction time",100032,403,"Number of times snap-button pressed",496710,7121532,"Complete","Integer","","Data","Primary","Unisex",4,12,,"This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=403"
"Assessment centre > Cognitive function > Reaction time",100032,404,"Duration to first press of snap-button in each round",494384,3576087,"Complete","Integer","milliseconds","Data","Primary","Unisex",4,12,,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. Field 401 and Field 402 need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=404"
"Assessment centre > Procedural metrics > Process durations",152,630,"Touchscreen duration",501530,604114,"Complete","Integer","deciseconds","Data","Auxiliary","Unisex",4,1,,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=630"
"Assessment centre > Touchscreen > Sociodemographics > Household",100066,670,"Type of accommodation lived in",501520,604104,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100286,"ACE touchscreen question \"What type of accommodation do you live in?\" If the participant activated the Help button they were shown the message:     Please select:  A house or bungalow for any whole, detached, semi-detached or terraced (including end-terrace) house or bungalow.  A flat, maisonette, or apartment for any purpose-built block of flats or tenement, part of a converted or shared house (including bed-sits) or within a commercial building (for example in an office building, or hotel, or over a shop).  If none of the options apply, select None of the above.     ","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=670"
"Assessment centre > Touchscreen > Sociodemographics > Household",100066,680,"Own or rent accommodation lived in",500146,602570,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100287,"ACE touchscreen question \"Do you own or rent the accommodation that you live in?\" If the participant activated the Help button they were shown the message:     Please select:  - Own outright if you or someone in your household owns the accommodation that you live in.  - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in.      Field 680 was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to Field 670","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=680"
"Assessment centre > Touchscreen > Sociodemographics > Household",100066,699,"Length of time at current address",501516,604100,"Complete","Integer","years","Data","Primary","Unisex",4,1,100290,"ACE touchscreen question \"How many years have you lived at your current address?\" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure, please provide an estimate or select Do not know. If you have lived at your current address at different times, add up the total number of years you lived there. For instance if you lived at your current address for 3 years, moved overseas for one year and returned to your current address for another 5 years, then you would enter 8 years.     ","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=699"
"Assessment centre > Touchscreen > Sociodemographics > Household",100066,709,"Number in household",500144,602568,"Complete","Integer","people","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)\" The following checks were performed:  If answer   If answer > 100 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you live alone, enter 1. Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots.      Field 709 was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to Field 670","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=709"
"Assessment centre > Touchscreen > Sociodemographics > Household",100066,728,"Number of vehicles in household",500144,602568,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100293,"ACE touchscreen question \"How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) \" If the participant activated the Help button they were shown the message:     Do not include motorcycles.      Field 728 was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to Field 670","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=728"
"Assessment centre > Touchscreen > Sociodemographics > Household",100066,738,"Average total household income before tax",497506,598815,"Complete","Categorical single","","Data","Primary","Unisex",4,1,100294,"ACE touchscreen question \"What is the average total income before tax received by your HOUSEHOLD?\" If the participant activated the Help button they were shown the message:     If you are unsure of annual household income here are the weekly and monthly equivalents:  Annual    Monthly   Weekly  less than &pound;18,000  less than &pound;1,500  less than &pound;346 &pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576 &pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999 &pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923 greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923       Field 738 was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to Field 670","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=738"
"Assessment centre > Touchscreen > Sociodemographics > Employment",100064,757,"Time employed in main current job",288782,324341,"Complete","Integer","years","Data","Primary","Unisex",4,1,100290,"ACE touchscreen question \"How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)\" The following checks were performed:  If answer   If answer > Participants age - 10 years then rejected  If answer > Participants age - 16 years then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only (ie: the job that you spend most of your time doing). If you have been with the same employer, but have changed jobs whilst you have worked for them, then only give the number of years that you have been in your current job (not the number of years that you have been employed by the same company). For instance, if you have worked as mail-room sorter but then been promoted to manager of the mail-room, please give the number of years you have worked as the mail-room manager only. If you have changed employers, but have had the same job, please give the total number of years that you have worked in that job.  For instance, if you have worked as a cleaner for 3 different companies, please give the total number of years working as a cleaner.      Field 757 was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to Field 6142","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=757"
"Assessment centre > Touchscreen > Sociodemographics > Employment",100064,767,"Length of working week for main job",288783,324343,"Complete","Integer","hours","Data","Primary","Unisex",4,1,100291,"ACE touchscreen question \"In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)\" The following checks were performed:  If answer > 160 then rejected  If answer   If answer > 74 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only.      Field 767 was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to Field 6142","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=767"
"Assessment centre > Touchscreen > Sociodemographics > Employment",100064,777,"Frequency of travelling from home to job workplace",286874,322007,"Complete","Integer","times","Data","Primary","Unisex",4,1,100298,"ACE touchscreen question \"How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)\" The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the number of times varies each week, take an average over the last 4 weeks. If you only work from home please enter 0       Field 777 was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to Field 6142","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=777"
