--- mean var skew kurtosis
23513 -0.000 0.001 0.579 3.695
23514 0.000 0.000 0.574 3.670
23515 -0.000 0.003 0.916 4.495
23516 0.000 0.000 0.648 3.907
23517 -0.000 0.007 0.650 3.964
23518 0.000 0.001 0.712 4.211
23519 -0.000 0.002 0.531 3.668
23520 0.000 0.001 0.489 3.577
23521 -0.000 0.000 0.643 3.966
23522 -0.000 0.000 1.041 5.023
23523 -0.000 0.000 0.473 3.380
23524 0.000 0.068 0.428 3.587
23525 -0.000 0.004 0.484 3.702
23526 -0.000 0.037 0.373 3.481
23527 -0.000 0.020 0.375 3.482
23528 0.000 0.003 0.379 3.466
23529 0.000 0.001 1.098 5.106
23530 -0.000 0.000 0.586 3.709
23531 0.000 0.122 0.469 3.684
23532 -0.000 0.006 0.410 3.544
23533 -0.000 0.068 0.462 3.700
23534 0.000 0.037 0.484 3.745
23535 -0.000 0.005 0.396 3.614
23536 0.000 0.001 1.166 5.298
23537 -0.000 0.000 0.507 3.609
23538 -0.000 0.024 0.456 3.567
23539 -0.000 0.002 0.450 3.535
23540 0.000 0.012 0.426 3.541
23541 0.000 0.007 0.460 3.552
23542 -0.000 0.001 0.368 3.574
23543 0.000 0.000 1.302 5.713
23544 -0.000 0.000 0.547 3.653
23545 0.000 0.004 0.494 3.636
23546 -0.000 0.000 0.429 3.677
23547 -0.000 0.002 0.449 3.567
23548 0.000 0.001 0.524 3.652
23549 0.000 0.000 0.186 3.564
23550 0.000 0.000 1.347 5.832
23551 -0.000 0.000 1.230 5.867
23552 0.000 0.005 1.210 5.690
23553 -0.000 0.002 1.193 5.561
23554 0.000 0.001 1.160 5.595
23555 -0.000 0.001 1.153 5.441
23556 0.000 0.000 1.054 5.822
23557 -0.000 0.000 1.138 5.335
23558 -0.000 0.000 1.003 4.610
23559 -0.000 0.076 0.979 4.551
23560 0.000 0.017 0.905 4.382
23561 -0.000 0.021 0.994 4.524
23562 -0.000 0.013 0.970 4.419
23563 0.000 0.001 1.045 4.832
23564 -0.000 0.000 1.053 5.147
23565 0.000 0.000 0.528 4.085
23566 -0.000 0.037 0.541 4.141
23567 -0.000 0.008 0.560 4.228
23568 -0.000 0.011 0.513 3.943
23569 0.000 0.007 0.493 3.914
23570 0.000 0.000 0.572 4.069
23571 -0.000 0.000 0.899 4.641
23572 -0.000 0.000 0.339 4.050
23573 -0.000 0.022 0.455 4.085
23574 0.000 0.008 0.524 4.118
23575 -0.000 0.003 0.353 4.028
23576 0.000 0.002 0.270 3.982
23577 0.000 0.000 0.494 4.222
23578 0.000 0.000 0.789 4.399
23579 0.000 15.515 -1.283 9.292
23580 -0.000 109.526 2.621 12.351
23581 -0.000 46.408 2.593 12.990
23582 0.000 15.373 2.492 11.964
23583 0.000 152.191 -1.910 9.628
23584 -0.000 4.010 -2.550 15.629
23585 0.000 49.592 1.396 7.027
23586 -0.000 32.941 1.470 7.238
23587 -0.000 2.441 1.042 8.256
23588 0.000 54.192 -0.740 6.453
23589 -0.000 10.751 -2.541 13.096
23590 0.000 16.172 0.038 5.103
23591 0.000 10.023 0.300 4.043
23592 -0.000 1.560 -0.996 8.588
23593 0.000 29.502 1.011 8.617
23594 0.000 2.631 -0.442 4.019
23595 -0.000 36.646 -0.343 3.186
23596 0.000 20.599 -0.306 3.051
23597 0.000 2.468 -0.428 3.706
23598 0.000 57.203 0.373 3.406
23599 -0.000 3.616 -0.060 3.428
23600 -0.000 19.028 -0.275 3.272
23601 -0.000 6.868 -0.347 3.387
23602 -0.000 4.093 -0.098 3.402
23603 0.000 37.889 0.216 3.295
23604 0.000 0.636 0.039 4.041
23605 0.000 16.664 -0.671 4.064
23606 0.000 13.371 -0.589 3.885
23607 0.000 0.321 -1.123 5.285
23608 -0.000 13.362 0.731 4.342
23609 -0.000 0.758 0.020 3.257
23610 -0.000 7.376 -1.103 5.267
23611 0.000 5.034 -0.794 4.498
23612 -0.000 1.042 -0.629 4.413
23613 -0.000 4.732 1.366 6.592
23614 -0.000 0.542 0.013 3.202
23615 -0.000 2.224 -0.963 6.174
23616 -0.000 1.234 -0.556 4.112
23617 -0.000 1.391 -0.964 5.065
23618 0.000 2.312 1.432 7.149
23619 0.000 0.629 -0.230 3.435
23620 -0.000 2.175 -1.323 6.527
23621 -0.000 3.382 -0.405 4.124
23622 -0.000 3.119 -0.670 4.698
23623 -0.000 1.912 1.519 7.111
23624 -0.000 2.934 0.209 4.262
23625 0.000 3.362 -0.902 4.930
23626 -0.000 4.104 -0.019 4.238
23627 -0.000 3.412 -1.297 6.098
23628 0.000 2.677 1.417 6.461
23629 0.000 26.607 -1.640 8.368
23630 0.000 17.579 1.149 7.760
23631 -0.000 8.486 -0.077 7.009
23632 -0.000 8.062 1.363 7.755
23633 -0.000 7.458 1.954 9.966
23634 0.000 7.080 1.012 6.055
23635 0.000 22.879 -1.305 6.109
23636 -0.000 18.195 -1.317 5.951
23637 -0.000 0.882 -1.443 7.987
23638 -0.000 7.447 1.372 6.394
23639 0.000 1.359 0.522 3.525
23640 -0.000 7.587 -0.510 3.464
23641 0.000 5.980 -0.662 3.707
23642 0.000 0.349 -0.111 3.780
23643 0.000 2.929 0.531 3.601
23644 0.000 1.347 0.179 3.393
23645 0.000 3.211 -0.529 3.747
23646 0.000 3.183 -0.686 4.116
23647 -0.000 0.240 0.839 5.092
23648 0.000 1.470 0.544 3.898
2714 0.000 2.544 0.209 3.097
2744 -0.000 1.429 -0.391 4.611
2754 -0.000 18.714 0.322 3.177
2764 -0.000 21.874 0.238 2.892
2794 -0.000 13.437 1.890 9.978
2824 -0.000 54.185 0.121 2.949
30000 -0.000 2.650 0.754 4.492
30010 -0.000 0.112 -0.071 4.194
30020 -0.000 0.873 -0.343 4.622
30030 0.000 7.485 -0.236 4.503
30040 -0.000 16.724 -0.315 5.493
30050 -0.000 2.595 -0.430 6.555
30060 0.000 0.808 0.192 4.096
30070 -0.000 0.674 1.597 8.677
30080 0.000 3121.674 0.542 4.578
30090 -0.000 0.002 0.442 4.797
30100 -0.000 1.139 0.746 4.062
30110 0.000 0.257 0.834 4.521
30120 0.000 0.324 0.852 5.197
30130 -0.000 0.024 0.929 5.857
30140 0.000 1.694 0.933 5.069
30150 0.000 0.014 1.786 8.047
30180 0.000 49.092 0.301 3.771
30190 0.000 4.266 0.759 5.945
30200 -0.000 64.964 -0.239 3.969
30210 0.000 2.867 1.742 7.650
30240 -0.000 0.254 1.194 7.583
30250 0.000 0.001 1.096 6.301
30260 -0.000 54.134 -0.302 5.141
30270 -0.000 23.468 0.240 3.954
30280 -0.000 0.003 -0.018 3.609
30290 0.000 0.037 1.329 6.601
30300 -0.000 0.000 1.171 5.117
30530 -0.000 1751.730 0.851 3.724
30600 0.000 6.112 0.018 3.512
30610 -0.000 464.937 1.038 5.839
30620 0.000 121.761 2.275 11.360
30630 0.000 0.055 0.495 3.591
30640 0.000 0.049 0.399 3.391
30650 0.000 52.146 2.394 13.716
30660 -0.000 0.520 2.128 9.627
30670 0.000 1.404 0.651 4.283
30680 -0.000 0.008 0.384 4.263
30690 -0.000 0.998 0.398 3.568
30700 -0.000 120.092 0.789 5.495
30710 0.000 9.304 3.586 20.080
30720 0.000 0.014 0.863 5.682
30730 0.000 725.189 3.424 19.508
30740 -0.000 0.438 1.492 10.298
30750 0.000 13.631 0.464 6.558
30760 -0.000 0.107 0.707 4.206
30770 0.000 27.455 0.432 3.810
30780 0.000 0.606 0.385 3.454
30790 0.000 2370.588 1.426 3.870
30810 0.000 0.023 -0.032 3.254
3083 -0.000 372.377 0.472 4.624
30830 0.000 631.659 1.389 7.186
3084 0.000 0.014 0.621 4.169
30840 -0.000 15.487 2.193 10.039
3085 -0.000 319.355 0.297 4.226
30850 0.000 6.596 1.085 9.464
3086 0.000 966.133 0.718 4.503
30860 -0.000 15.394 0.332 3.637
30870 0.000 0.850 1.707 7.516
30880 0.000 4172.675 0.498 3.778
30890 -0.000 405.914 0.612 3.528
3143 0.000 15.131 0.200 3.440
3144 0.000 314.091 0.754 5.975
3146 -0.000 1083.266 0.815 6.098
3147 0.000 401.977 0.800 6.089
3148 0.000 0.016 0.839 5.940
3536 0.000 24.408 -0.578 3.832
3581 -0.000 22.818 -1.179 5.603
3680 0.000 132.459 -0.364 3.771
3710 0.000 16.186 0.772 18.420
3761 0.000 231.022 0.440 2.271
3786 0.000 294.483 -0.342 2.086
3872 0.000 36.061 0.127 2.539
3882 -0.000 44.038 -0.434 3.731
4100 0.000 15.204 0.243 3.394
4101 0.000 332.962 0.881 6.608
4103 -0.000 1099.600 0.936 6.890
4104 -0.000 414.955 0.922 6.859
4105 0.000 0.016 0.977 6.701
4106 0.000 1.323 0.922 6.859
4119 -0.000 15.312 0.216 3.477
4120 -0.000 319.119 0.723 6.042
4122 -0.000 1083.424 0.805 6.158
4123 0.000 404.091 0.779 6.145
4124 0.000 0.016 0.831 6.004
4125 0.000 1.288 0.780 6.145
4194 0.000 122.152 0.690 4.214
4198 -0.000 26.262 -0.518 3.087
4199 0.000 38.189 0.738 4.759
4200 -0.000 27.882 -0.305 2.595
4283 -0.000 2.678 0.015 3.505
4288 0.000 7827.563 1.310 7.026
4290 -0.000 28237.938 3.588 18.940
46 0.000 55.160 -0.175 4.165
47 -0.000 55.209 -0.173 4.154
48 0.000 130.379 0.665 3.958
49 0.000 77.562 0.970 5.401
50 0.000 39.196 0.038 3.250
51 -0.000 28.178 -0.437 3.309
5386 0.000 211.754 7.176 70.353
6032 0.000 804.248 -1.660 5.533
6033 0.000 346.536 -0.434 4.217
77 -0.000 1.242 0.515 3.868
78 0.000 1.281 0.800 6.089
845 0.000 4.047 1.898 10.277
