"","factor","maf_class2","prs_bin2","simid","mean_odds","ci_lower","ci_upper"
"1","f1","maf1",1,"f1_1_maf1",1.92809945114103,1.67825128612305,2.21514353912896
"2","f1","maf1_top",1,"f1_1_maf1_top",4.03138491830518,3.22276799315862,5.04288996106415
"3","f1","n1_10",1,"f1_1_n1_10",3.39093755662453,2.89157501557261,3.97653785601331
"4","f1","n1_10_top",1,"f1_1_n1_10_top",9.24384667725841,6.76809588998511,12.6252202660281
"5","f1","maf1",2,"f1_2_maf1",1.98922892647834,1.75587314804606,2.25359771936918
"6","f1","maf1_top",2,"f1_2_maf1_top",3.64331185438621,2.9976629201413,4.42802330412967
"7","f1","n1_10",2,"f1_2_n1_10",2.62530127747677,2.31206895316959,2.98096939888956
"8","f1","n1_10_top",2,"f1_2_n1_10_top",4.7815780037559,3.84192069784146,5.95105677710834
"9","f1","maf1",3,"f1_3_maf1",1.90410113874478,1.68963490222091,2.14578968616448
"10","f1","maf1_top",3,"f1_3_maf1_top",3.22074693384323,2.68501521862405,3.86337132836676
"11","f1","n1_10",3,"f1_3_n1_10",2.23714475332361,1.96638496004045,2.54518659826425
"12","f1","n1_10_top",3,"f1_3_n1_10_top",3.80899139373124,2.99174413927548,4.84948403409664
"13","f1","maf1",4,"f1_4_maf1",1.89159923067704,1.68099194045115,2.12859298334152
"14","f1","maf1_top",4,"f1_4_maf1_top",2.99479086939384,2.46936777643112,3.63201157681217
"15","f1","n1_10",4,"f1_4_n1_10",1.94720955948516,1.67720560126936,2.26067994626346
"16","f1","n1_10_top",4,"f1_4_n1_10_top",3.49003323442509,2.77227278095829,4.3936267964155
"17","f1","maf1",5,"f1_5_maf1",1.72178798389653,1.52948826152187,1.93826519370648
"18","f1","maf1_top",5,"f1_5_maf1_top",2.51756332067543,2.11016362863348,3.00361781788212
"19","f1","n1_10",5,"f1_5_n1_10",2.03402509759868,1.79890375834251,2.29987739948543
"20","f1","n1_10_top",5,"f1_5_n1_10_top",2.65019321533956,2.10853977090169,3.33098961449909
"21","f1","maf1",6,"f1_6_maf1",1.73031994344544,1.56731572518788,1.91027695222425
"22","f1","maf1_top",6,"f1_6_maf1_top",1.90774734397073,1.66535884210097,2.18541484058528
"23","f1","n1_10",6,"f1_6_n1_10",1.7703203833847,1.62386192239789,1.92998814529714
"24","f1","n1_10_top",6,"f1_6_n1_10_top",2.98880315850665,2.54108958311614,3.51539921286239
"25","f1","maf1",11,"f1_11_maf1",1.57671242536577,1.44111986769763,1.72506265996773
"26","f1","maf1_top",11,"f1_11_maf1_top",1.27441317345202,1.12391341727882,1.44506588470163
"27","f1","n1_10",11,"f1_11_n1_10",1.65372762029084,1.50000296071243,1.82320642941524
"28","f1","n1_10_top",11,"f1_11_n1_10_top",1.72397679993856,1.4221277311319,2.08989385528742
"29","f1","maf1",16,"f1_16_maf1",1.53001772996028,1.39834998722212,1.67408322335899
"30","f1","maf1_top",16,"f1_16_maf1_top",0.997005863525675,0.878778844778459,1.13113862243142
"31","f1","n1_10",16,"f1_16_n1_10",1.48058729712681,1.36106077080048,1.61061048223733
"32","f1","n1_10_top",16,"f1_16_n1_10_top",1.36728272936456,1.11598007691833,1.6751751224636
"33","f1","maf1",21,"f1_21_maf1",1.4645852240224,1.33447189970442,1.60738482308984
"34","f1","maf1_top",21,"f1_21_maf1_top",0.830920334602712,0.723208208857784,0.954674731287588
"35","f1","n1_10",21,"f1_21_n1_10",1.4590609056629,1.32664398282078,1.60469481940991
"36","f1","n1_10_top",21,"f1_21_n1_10_top",0.932241241099971,0.783196297238332,1.10964994940872
"37","f1","maf1",26,"f1_26_maf1",1.48729194316235,1.36048202562862,1.62592175605816
"38","f1","maf1_top",26,"f1_26_maf1_top",0.761110421113406,0.655585695308896,0.883620672739784
"39","f1","n1_10",26,"f1_26_n1_10",1.49322988036206,1.37399796880869,1.62280842200906
"40","f1","n1_10_top",26,"f1_26_n1_10_top",0.940073428895777,0.787669639084515,1.12196536195429
"41","f1","maf1",31,"f1_31_maf1",1.40367930508022,1.28432874816544,1.53412091283088
"42","f1","maf1_top",31,"f1_31_maf1_top",0.647618446414177,0.554757816021135,0.756022970787552
"43","f1","n1_10",31,"f1_31_n1_10",1.36968477494484,1.24355092925436,1.50861242477667
"44","f1","n1_10_top",31,"f1_31_n1_10_top",0.798409519729244,0.643366790897722,0.990815457392205
"45","f1","maf1",36,"f1_36_maf1",1.39019087545807,1.26868374143238,1.52333525455673
"46","f1","maf1_top",36,"f1_36_maf1_top",0.620856293347386,0.543046725720378,0.709814678428859
